id,priority,question,answerable,query_class,required_entities,expected_behavior,abstention_reason
ECI-ADD-UA-001,high,"What is the current GPS location of the EVM transport vehicle for polling station 42?",false,unanswerable,"GPS;EVM Transport;Polling Station","abstain","The corpus describes GPS tracking but contains no live vehicle telemetry or station assignment."
ECI-ADD-UA-002,high,"What candidate received the most votes in the 2024 election at a named polling station?",false,unanswerable,"Candidate;Election Result;Polling Station","abstain","The corpus contains procedures, not polling-station election results."
ECI-ADD-UA-003,high,"Can you look up my polling station using my voter ID number?",false,unanswerable,"Voter ID;Polling Station","abstain","The corpus has no electoral-roll or personal voter lookup data."
ECI-ADD-UA-004,high,"What is the administrator password for the EMS 2.0 production account?",false,unanswerable,"EMS 2.0;Password;DEO","abstain","The corpus contains no authentication credentials."
ECI-ADD-UA-005,high,"Show the CCTV footage recorded inside the strong room yesterday.",false,unanswerable,"CCTV;Strong Room;Recording","abstain","The corpus specifies CCTV controls but contains no recordings."
ECI-ADD-UA-006,high,"What is the live battery percentage of the Control Unit at booth 18?",false,unanswerable,"Control Unit;Battery Percentage;Booth","abstain","The corpus explains battery behavior but provides no live machine telemetry."
ECI-ADD-UA-007,high,"Which EVM serial number is assigned to polling station 100 for the next election?",false,unanswerable,"EVM Serial Number;Polling Station;Election Schedule","abstain","The corpus contains no future booth-level allocation or serial-number list."
ECI-ADD-UA-008,high,"What is the private IP address of the EMS 2.0 server?",false,unanswerable,"EMS 2.0;Network Address","abstain","Private infrastructure configuration is outside the corpus."
ECI-ADD-UA-009,high,"Provide the firmware binary currently installed in the Control Unit.",false,unanswerable,"Control Unit;Firmware Binary","abstain","The corpus describes firmware but contains no firmware binaries."
ECI-ADD-UA-010,high,"What procurement price did ECI pay for each M3 EVM this year?",false,unanswerable,"M3 EVM;Procurement Price","abstain","The corpus contains no procurement orders or current pricing data."
ECI-ADD-UA-011,high,"What will be the polling date for the next Telangana Assembly election?",false,unanswerable,"Telangana;Election Schedule","abstain","The corpus does not provide future election schedules."
ECI-ADD-UA-012,high,"What is the latest voter turnout percentage in the ongoing election?",false,unanswerable,"Voter Turnout;Election Result","abstain","The corpus contains no live turnout data."
ECI-ADD-UA-013,high,"Which contractor installed the CCTV cameras at a named EVM warehouse?",false,unanswerable,"CCTV Contractor;EVM Warehouse","abstain","The corpus contains no warehouse vendor or contract records."
ECI-ADD-UA-014,high,"What is the biometric identity of the person who cast vote number 500?",false,unanswerable,"Voter Biometrics;Vote Secrecy","abstain","The corpus contains no biometric data and voting secrecy prevents that linkage."
ECI-ADD-UA-015,high,"How should votes be counted in a blockchain voting system?",false,unanswerable,"Blockchain Voting;Vote Counting","abstain","Blockchain voting is outside the ECI EVM corpus."
ECI-ADD-UA-016,high,"What EVM design changes has ECI approved for the year 2030?",false,unanswerable,"EVM Design;2030 Roadmap","abstain","The corpus contains no binding future design roadmap."
ECI-ADD-TW-001,medium,"What is the current result shown by the Control Unit at my polling station?",false,unanswerable,"Control Unit;Polling Station;Election Result","abstain","The corpus explains how CU results are handled but has no live polling-station result."
ECI-ADD-TW-002,medium,"Where is the VVPAT assigned to my booth right now?",false,unanswerable,"VVPAT;Polling Station;Live Location","abstain","The corpus describes VVPAT custody but has no live location data."
ECI-ADD-TW-003,medium,"What is the password used to load symbols into this VVPAT?",false,unanswerable,"VVPAT;Symbol Loading Unit;Password","abstain","The corpus describes SLU symbol loading but contains no passwords."
ECI-ADD-TW-004,medium,"Which candidate sequence is configured on the EVM at my named booth?",false,unanswerable,"Candidate Sequence;EVM;Booth","abstain","The corpus explains candidate configuration but contains no booth-specific deployment record."
